time,latitude,longitude,tvh
1996-01-01,-1.8,310.8,0.0
1996-01-01,-1.8,310.9,6.000106816413105
1996-01-01,-1.8,311.0,19.0
1996-01-01,-1.8,311.1,6.000106816413105
1996-01-01,-1.8,311.2,6.000106816413105
1996-01-01,-1.8,311.3,19.0
1996-01-01,-1.9,310.8,6.000106816413105
1996-01-01,-1.9,310.9,6.000106816413105
1996-01-01,-1.9,311.0,6.000106816413105
1996-01-01,-1.9,311.1,6.000106816413105
1996-01-01,-1.9,311.2,6.000106816413105
1996-01-01,-1.9,311.3,6.000106816413105
1996-01-01,-2.0,310.8,6.000106816413105
1996-01-01,-2.0,310.9,6.000106816413105
1996-01-01,-2.0,311.0,6.000106816413105
1996-01-01,-2.0,311.1,6.000106816413105
1996-01-01,-2.0,311.2,6.000106816413105
1996-01-01,-2.0,311.3,6.000106816413105
1996-01-01,-2.1,310.8,19.0
1996-01-01,-2.1,310.9,6.000106816413105
1996-01-01,-2.1,311.0,6.000106816413105
1996-01-01,-2.1,311.1,19.0
1996-01-01,-2.1,311.2,6.000106816413105
1996-01-01,-2.1,311.3,6.000106816413105
1996-01-01,-2.2,310.8,19.0
1996-01-01,-2.2,310.9,6.000106816413105
1996-01-01,-2.2,311.0,6.000106816413105
1996-01-01,-2.2,311.1,6.000106816413105
1996-01-01,-2.2,311.2,6.000106816413105
1996-01-01,-2.2,311.3,6.000106816413105
